DB00001,DB00214,0.368421,0
DB00001,DB00215,0.344828,0
DB00001,DB00216,0.465909,0
DB00001,DB00217,0.482353,0
DB00001,DB00218,0.623529,0
DB00001,DB00219,0.404762,0
DB00001,DB00221,0.376623,0
DB00001,DB00222,0.567010,0
DB00001,DB00223,0.329545,0
DB00001,DB00226,0.402439,0
DB00001,DB00227,0.349398,0
DB00001,DB00228,0.024691,0
DB00001,DB00230,0.306667,0
DB00001,DB00231,0.356322,0
DB00001,DB00232,0.400000,0
DB00001,DB00234,0.437500,0
DB00001,DB00235,0.282051,0
DB00001,DB00237,0.451220,0
DB00001,DB00240,0.329545,0
DB00001,DB00241,0.409639,0
DB00001,DB00242,0.600000,0
DB00001,DB00243,0.629630,0
DB00001,DB00244,0.315789,0
DB00001,DB00245,0.350000,0
DB00001,DB00246,0.522727,0
DB00001,DB00247,0.585366,0
DB00001,DB00248,0.602410,0
DB00001,DB00250,0.220930,0
DB00001,DB00251,0.538462,0
DB00001,DB00252,0.387500,0
DB00001,DB00253,0.304878,0
DB00001,DB00255,0.217949,0
DB00001,DB00257,0.246914,0
DB00001,DB00261,0.441860,0
DB00001,DB00262,0.376471,0
DB00001,DB00264,0.448718,0
DB00001,DB00266,0.311688,0
DB00001,DB00268,0.525641,0
DB00001,DB00269,0.170732,0
DB00001,DB00270,0.406977,0
DB00001,DB00272,0.337662,0
DB00001,DB00273,0.397849,0
DB00001,DB00275,0.629213,0
DB00001,DB00276,0.380435,0
DB00001,DB00277,0.462500,0
DB00001,DB00278,0.591837,1
DB00001,DB00279,0.350000,0
DB00001,DB00280,0.417722,0
DB00001,DB00281,0.410256,0
DB00001,DB00282,0.353659,0
DB00001,DB00283,0.404762,0
DB00001,DB00284,0.432099,0
DB00001,DB00285,0.423077,0
DB00001,DB00286,0.304348,0
DB00001,DB00287,0.409639,0
DB00001,DB00288,0.388889,0
DB00001,DB00289,0.320513,0
DB00001,DB00290,0.692308,0
DB00001,DB00292,0.434211,0
DB00001,DB00293,0.675000,0
DB00001,DB00294,0.273810,0
DB00001,DB00295,0.428571,0
DB00001,DB00296,0.493671,0
DB00001,DB00297,0.493671,0
DB00001,DB00298,0.409639,0
DB00001,DB00302,0.297297,0
DB00001,DB00304,0.250000,0
DB00001,DB00306,0.428571,0
DB00001,DB00307,0.195122,0
DB00001,DB00308,0.467391,0
DB00001,DB00309,0.704545,0
DB00001,DB00310,0.371134,0
DB00001,DB00311,0.413043,0
DB00001,DB00312,0.475610,0
DB00001,DB00313,0.226667,0
DB00001,DB00315,0.556962,0
DB00001,DB00316,0.293333,0
DB00001,DB00317,0.488636,0
DB00001,DB00318,0.423529,0
DB00001,DB00320,0.686747,0
DB00001,DB00321,0.222222,0
DB00001,DB00322,0.600000,0
DB00001,DB00323,0.348837,0
DB00001,DB00324,0.310345,0
DB00001,DB00325,0.048780,0
DB00001,DB00327,0.440476,0
DB00001,DB00328,0.463415,0
DB00001,DB00331,0.200000,0
DB00001,DB00332,0.493976,0
DB00001,DB00333,0.278481,0
DB00001,DB00334,0.382979,0
DB00001,DB00335,0.506494,0
DB00001,DB00337,0.550562,0
DB00001,DB00338,0.426966,0
DB00001,DB00339,0.293333,0
DB00001,DB00340,0.329268,0
DB00001,DB00341,0.451220,0
DB00001,DB00342,0.448718,0
DB00001,DB00343,0.552941,0
DB00001,DB00344,0.212500,0
DB00001,DB00346,0.662791,0
DB00001,DB00347,0.419753,0
DB00001,DB00348,0.288889,0
DB00001,DB00349,0.388235,0
DB00001,DB00350,0.422222,0
DB00001,DB00351,0.313253,0
DB00001,DB00352,0.282353,0
DB00001,DB00353,0.592593,0
DB00001,DB00354,0.341463,0
DB00001,DB00356,0.283951,0
DB00001,DB00357,0.419753,0
DB00001,DB00358,0.387500,0
DB00001,DB00360,0.530120,0
DB00001,DB00361,0.571429,0
DB00001,DB00363,0.322917,0
DB00001,DB00364,0.340659,0
DB00001,DB00366,0.370370,0
DB00001,DB00367,0.277108,0
DB00001,DB00368,0.342105,0
DB00001,DB00370,0.337349,0
DB00001,DB00371,0.358025,0
DB00001,DB00372,0.397590,0
DB00001,DB00373,0.685393,0
DB00001,DB00374,0.405063,0
DB00001,DB00376,0.384615,0
DB00001,DB00377,0.410256,0
DB00001,DB00378,0.243902,0
DB00001,DB00379,0.324675,0
DB00001,DB00380,0.525641,0
DB00001,DB00381,0.449438,0
DB00001,DB00382,0.272727,0
DB00001,DB00383,0.482353,0
DB00001,DB00384,0.259259,0
DB00001,DB00385,0.545455,0
DB00001,DB00387,0.415584,0
DB00001,DB00388,0.333333,0
DB00001,DB00389,0.404762,0
DB00001,DB00390,0.418605,0
DB00001,DB00391,0.583333,0
DB00001,DB00392,0.365854,0
DB00001,DB00393,0.393617,0
DB00001,DB00394,0.379310,0
DB00001,DB00396,0.243902,0
DB00001,DB00397,0.216216,0
DB00001,DB00398,0.363636,0
DB00001,DB00399,0.463415,0
DB00001,DB00401,0.354839,0
DB00001,DB00402,0.528090,0
DB00001,DB00403,0.670455,0
DB00001,DB00404,0.292135,0
DB00001,DB00405,0.271605,0
